Cleaned Text,Stemmed Tokens,Tweet ID
RT @jnpheen: THANK YOU to all the seniors and the work you've put in for West Virginia University #HailWV #WVU ,"['rt', '@', 'jnpheen', ':', 'thank', 'you', 'senior', 'work', 've', 'put', 'west', 'virginia', 'univers', '#', 'hailwv', '#', 'wvu']",1067590331598888961
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067590054959349761
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067589999699341312
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,"['rt', ':', 'lot', 'confus', 're', 'big', '12', ""'s"", 'slot', 'sugar', 'bowl', '.', 'but', '#', 'wvu', 'offici', 'tell', 'next', 'week', ""'s"", 'cfp', 'rank', ""won't…""]",1067589776021364736
RT : Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings won't…,"['rt', ':', 'lot', 'confus', 're', 'big', '12', ""'s"", 'slot', 'sugar', 'bowl', '.', 'but', '#', 'wvu', 'offici', 'tell', 'next', 'week', ""'s"", 'cfp', 'rank', ""won't…""]",1067589302543151107
"RT : .@WVUfootball is No. 16 in the #CFBPlayoff rankings. 

#WVU will learn its bowl fate next week. The result of the …","['rt', ':', '.', '@', 'wvufootbal', 'no', '.', '16', '#', 'cfbplayoff', 'rank', '.', '#', 'wvu', 'will', 'learn', 'bowl', 'fate', 'next', 'week', '.', 'the', 'result', '…']",1067589137996206080
".@WVUfootball is No. 16 in the #CFBPlayoff rankings. 

#WVU will learn its bowl fate next week. The result of the… ","['.', '@', 'wvufootbal', 'no', '.', '16', '#', 'cfbplayoff', 'rank', '.', '#', 'wvu', 'will', 'learn', 'bowl', 'fate', 'next', 'week', '.', 'the', 'result', 'the…']",1067589010665734144
Yearly #WVU themed Christmas tree with my photo of  - Babcock State Park in the background. ,"['year', '#', 'wvu', 'theme', 'christma', 'tree', 'photo', '-', 'babcock', 'state', 'park', 'background', '.']",1067588728573452288
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067588254332002314
Lot of confusion out there re Big 12's slot for the Sugar Bowl. But #WVU officials tell me next week's CFP rankings… ,"['lot', 'confus', 're', 'big', '12', ""'s"", 'slot', 'sugar', 'bowl', '.', 'but', '#', 'wvu', 'offici', 'tell', 'next', 'week', ""'s"", 'cfp', 'rankings…']",1067587935481077760
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067587304183775233
#WVU should have seen if UNC wanted to play a make up football game this weekend,"['#', 'wvu', 'seen', 'unc', 'want', 'play', 'make', 'footbal', 'game', 'weekend']",1067586988386205696
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067586846673301504
"RT : Looking back already, that Oklahoma game stings but that Ok St game really really stings. #WVU","['rt', ':', 'look', 'back', 'alreadi', ',', 'oklahoma', 'game', 'sting', 'ok', 'st', 'game', 'realli', 'realli', 'sting', '.', '#', 'wvu']",1067586613906165760
"RT : David Hardesty is a great West Virginian, was a great President of the University and is a role model for all who look at h…","['rt', ':', 'david', 'hardesti', 'great', 'west', 'virginian', ',', 'great', 'presid', 'univers', 'role', 'model', 'look', 'h…']",1067586459543183360
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067586391746506752
RT @itskimwebster: The last couple of weeks as #WVU fans may not have gone the way we would’ve liked them to go but I’m still thankful for…,"['rt', '@', 'itskimwebst', ':', 'the', 'last', 'coupl', 'week', '#', 'wvu', 'fan', 'may', 'gone', 'way', '’', 've', 'like', 'go', 'i', '’', 'm', 'still', 'thank', 'for…']",1067586371613802496
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067585729478430721
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067585691708784640
"RT : David Hardesty is a great West Virginian, was a great President of the University and is a role model for all who look at h…","['rt', ':', 'david', 'hardesti', 'great', 'west', 'virginian', ',', 'great', 'presid', 'univers', 'role', 'model', 'look', 'h…']",1067584981927686144
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067583553314193408
#WVU drops to #16 in the CFP.,"['#', 'wvu', 'drop', '#', '16', 'cfp', '.']",1067583385034465280
#WVU won’t be playing for a conference title this weekend but where will it be bowling? That and a lot more in this… ,"['#', 'wvu', 'won', '’', 't', 'play', 'confer', 'titl', 'weekend', 'will', 'bowl', '?', 'that', 'lot', 'this…']",1067582981970305024
"RT : I understand fans want to win, but why do I keep seeing “mediocrity” and comparisons to blue blood programs? 

There’s a r…","['rt', ':', 'i', 'understand', 'fan', 'want', 'win', ',', 'i', 'keep', 'see', '“', 'mediocr', '”', 'comparison', 'blue', 'blood', 'program', '?', 'there', '’', 's', 'r…']",1067581831699185666
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067581668523982848
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067581642078859264
RT : Cheeesin'  #westvirginia #morgantown #bennyspizza #wvu #bennyvelinos #pizza ,"['rt', ':', 'cheeesin', ""'"", '#', 'westvirginia', '#', 'morgantown', '#', 'bennyspizza', '#', 'wvu', '#', 'bennyvelino', '#', 'pizza']",1067580807693443072
"RT : On #GivingTuesday around the globe,  reflects on the passion behind &amp; impact of the Norma Mae Huggins Cancer…","['rt', ':', 'on', '#', 'givingtuesday', 'around', 'globe', ',', 'reflect', 'passion', 'behind', '&', 'amp', ';', 'impact', 'norma', 'mae', 'huggin', 'cancer…']",1067578930293424128
NCAA Die-Cut Window Decal #WVU ,"['ncaa', 'die-cut', 'window', 'decal', '#', 'wvu']",1067578833409331200
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067578473399676928
"RT : Dana Holgorsen’s 1st 4 years at #WVU

28-23 (.549)

Holgorsen’s last 4 years at #WVU

33-17 (.660)

Be patient, program is…","['rt', ':', 'dana', 'holgorsen', '’', 's', '1st', '4', 'year', '#', 'wvu', '28-23', '(', '.549', ')', 'holgorsen', '’', 's', 'last', '4', 'year', '#', 'wvu', '33-17', '(', '.660', ')', 'be', 'patient', ',', 'program', 'is…']",1067578351915814914
"RT : So... if OU goes to the playoff and we pass Texas in rankings, does that send #WVU to the Sugar Bowl? 2nd highest rank…","['rt', ':', 'so', '...', 'ou', 'go', 'playoff', 'pas', 'texa', 'rank', ',', 'send', '#', 'wvu', 'sugar', 'bowl', '?', '2nd', 'highest', 'rank…']",1067578061149876225
