Tweet ID,Username,Text,Number of Retweets,Number of Likes
1067567813244723202,neernation,"b'@WVUSPORTSGUY @letsgomtnrs @Subsailor62 @DWStraka49 @missouri_in @LincolnRiley Facts. Additionally, a 13-9 game is\xe2\x80\xa6 https://t.co/X7boLkdW64'",0,0
1067567678813085696,CrewsControlWV,b'RT @DVNCallihan: #WVU has registered double digit wins in a season 9 times in its 127 year history. Dana Holgorsen has 2 of those in 8 year\xe2\x80\xa6',6,0
1067565114495258625,Mountaineerhype,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067565003555905536,OllyReed_25,b'RT @DVNCallihan: #WVU has registered double digit wins in a season 9 times in its 127 year history. Dana Holgorsen has 2 of those in 8 year\xe2\x80\xa6',6,0
1067564923180515328,Mountaineerhype,b'RT @DVNCallihan: #WVU has registered double digit wins in a season 9 times in its 127 year history. Dana Holgorsen has 2 of those in 8 year\xe2\x80\xa6',6,0
1067564143031537665,PattyO921,b'RT @DVNCallihan: #WVU has registered double digit wins in a season 9 times in its 127 year history. Dana Holgorsen has 2 of those in 8 year\xe2\x80\xa6',6,0
1067563770816401408,TonkaTruckGuy,"b'RT @DVNCallihan: I understand fans want to win, but why do I keep seeing \xe2\x80\x9cmediocrity\xe2\x80\x9d and comparisons to blue blood programs? \n\nThere\xe2\x80\x99s a r\xe2\x80\xa6'",6,0
1067563553438220294,skeenzyf,b'RT @DVNCallihan: #WVU has registered double digit wins in a season 9 times in its 127 year history. Dana Holgorsen has 2 of those in 8 year\xe2\x80\xa6',6,0
1067563213150187521,DVNCallihan,b'#WVU has registered double digit wins in a season 9 times in its 127 year history. Dana Holgorsen has 2 of those in 8 years.',6,31
1067563084255059968,Chenkcity,b'It\xe2\x80\x99d be a huge mistake for #WVU to let Dana go. https://t.co/4tkQurIlEb',0,0
1067562894433402881,fauxcaridi,b'RT @DVNCallihan: First 8 years as #WVU head coach\n\nDon Nehlen 58-35-1 (.623)\nDana Holgorsen 61-40 (.604)\n\nPretty close.',2,0
